mode,pass_k,accuracy_mean,accuracy_std,delta_mean,P_W_to_R_c,P_R_to_W_d,effective_D,drift,error_loop_rate
learned_gate,1,0.4484,0.2203,+0.0000,0.0000,0.0000,1.0000,3.7930,0.00
learned_gate,2,0.3285,0.0803,-0.1198,0.2149,0.5631,1.0000,2.3037,0.80
learned_gate,3,0.3550,0.1206,-0.0934,0.1717,0.2381,1.0000,1.4230,0.20
learned_gate,4,0.3334,0.0795,-0.1149,0.1026,0.2122,1.0000,1.0066,0.40
learned_gate,5,0.3452,0.0941,-0.1031,0.0859,0.1109,1.0000,0.7614,0.20
forced_gate_0.5,1,0.4489,0.2173,-0.0001,0.0002,0.0003,0.9993,3.7927,0.20
forced_gate_0.5,2,0.3384,0.0770,-0.1106,0.2210,0.5456,0.9993,2.3040,0.80
forced_gate_0.5,3,0.3529,0.1168,-0.0961,0.1700,0.2571,0.9993,1.4258,0.30
forced_gate_0.5,4,0.3339,0.0738,-0.1151,0.1020,0.2040,0.9993,1.0067,0.40
forced_gate_0.5,5,0.3477,0.0961,-0.1013,0.0866,0.1086,0.9993,0.7616,0.30
