seed,seen_base_acc,seen_rsl_acc,seen_delta,seen_P_W_to_R,seen_P_R_to_W,held_out_base_acc,held_out_rsl_acc,held_out_delta,held_out_P_W_to_R,held_out_P_R_to_W,mean_gate_g,mean_survival_D
0,0.9359,0.9359,+0.0000,0.0000,0.0000,0.9352,0.9352,+0.0000,0.0000,0.0000,0.0002,0.5833
1,0.9414,0.9414,+0.0000,0.0000,0.0000,0.9359,0.9359,+0.0000,0.0000,0.0000,0.0003,0.5833
2,0.9586,0.9586,+0.0000,0.0000,0.0000,0.9492,0.9492,+0.0000,0.0000,0.0000,0.0001,0.5833
3,0.9609,0.9609,+0.0000,0.0000,0.0000,0.9516,0.9516,+0.0000,0.0000,0.0000,0.0001,0.5833
4,0.9688,0.9688,+0.0000,0.0000,0.0000,0.9289,0.9289,+0.0000,0.0000,0.0000,0.0003,0.5833
5,0.9609,0.9609,+0.0000,0.0000,0.0000,0.9578,0.9578,+0.0000,0.0000,0.0000,0.0033,0.5833
6,0.9828,0.9828,+0.0000,0.0000,0.0000,0.9812,0.9812,+0.0000,0.0000,0.0000,0.0001,0.5833
7,0.8844,0.8844,+0.0000,0.0000,0.0000,0.9055,0.9055,+0.0000,0.0000,0.0000,0.0001,0.5833
8,0.8859,0.8859,+0.0000,0.0000,0.0000,0.9023,0.9023,+0.0000,0.0000,0.0000,0.0001,0.5833
9,0.9383,0.9383,+0.0000,0.0000,0.0000,0.9391,0.9391,+0.0000,0.0000,0.0000,0.0007,0.5833
