target_p,seed,test_base_acc,test_rsl_acc,test_delta,test_P_W_to_R_c,test_P_R_to_W_d,mean_gate_g,mean_effective_D,error_detector_gap,oracle_headroom,rsl_efficiency_eta
0.5,0,0.2313,0.2313,+0.0000,0.0000,0.0000,0.0009,1.0000,-0.0000,0.0164,+0.0000
0.5,1,0.2367,0.2367,+0.0000,0.0000,0.0000,0.0017,1.0000,+0.0000,0.0148,+0.0000
0.5,2,0.2547,0.2547,+0.0000,0.0000,0.0000,0.0006,1.0000,-0.0000,0.2391,+0.0000
0.5,3,0.2313,0.2313,+0.0000,0.0000,0.0000,0.0005,1.0000,-0.0000,0.2219,+0.0000
0.5,4,0.2320,0.2320,+0.0000,0.0000,0.0000,0.0011,1.0000,+0.0000,0.0008,+0.0000
0.5,5,0.2633,0.2633,+0.0000,0.0000,0.0000,0.0148,1.0000,-0.0000,-0.0063,+0.0000
0.5,6,0.2492,0.2492,+0.0000,0.0000,0.0000,0.0002,1.0000,-0.0000,0.0000,+0.0000
0.5,7,0.2586,0.2586,+0.0000,0.0000,0.0000,0.0006,1.0000,-0.0000,-0.0141,+0.0000
0.5,8,0.2656,0.2656,+0.0000,0.0000,0.0000,0.0006,1.0000,-0.0000,-0.0125,+0.0000
0.5,9,0.2594,0.2594,+0.0000,0.0000,0.0000,0.0035,1.0000,+0.0000,0.2445,+0.0000
0.6,0,0.2539,0.2539,+0.0000,0.0000,0.0000,0.0009,1.0000,+0.0000,0.0078,+0.0000
0.6,1,0.2367,0.2367,+0.0000,0.0000,0.0000,0.0017,1.0000,+0.0000,0.0148,+0.0000
0.6,2,0.2477,0.2477,+0.0000,0.0000,0.0000,0.0006,1.0000,-0.0000,0.1477,+0.0000
0.6,3,0.2641,0.2641,+0.0000,0.0000,0.0000,0.0006,1.0000,-0.0000,-0.0227,+0.0000
0.6,4,0.0719,0.0719,+0.0000,0.0000,0.0000,0.0011,1.0000,-0.0000,0.5320,+0.0000
0.6,5,0.1938,0.1938,+0.0000,0.0000,0.0000,0.0154,1.0000,-0.0000,0.2094,+0.0000
0.6,6,0.1766,0.1766,+0.0000,0.0000,0.0000,0.0004,1.0000,-0.0000,0.0914,+0.0000
0.6,7,0.2461,0.2461,+0.0000,0.0000,0.0000,0.0007,1.0000,+0.0000,0.0164,+0.0000
0.6,8,0.2477,0.2477,+0.0000,0.0000,0.0000,0.0006,1.0000,+0.0000,-0.0117,+0.0000
0.6,9,0.2500,0.2500,+0.0000,0.0000,0.0000,0.0034,1.0000,-0.0000,0.1469,+0.0000
0.7,0,0.3195,0.3195,+0.0000,0.0000,0.0000,0.0008,1.0000,-0.0000,0.2250,+0.0000
0.7,1,0.5312,0.5312,+0.0000,0.0000,0.0000,0.0013,1.0000,-0.0000,0.0984,+0.0000
0.7,2,0.2773,0.2773,+0.0000,0.0000,0.0000,0.0007,1.0000,+0.0000,0.1875,+0.0000
0.7,3,0.4133,0.4133,+0.0000,0.0000,0.0000,0.0005,1.0000,+0.0000,0.5375,+0.0000
0.7,4,0.8758,0.8758,+0.0000,0.0000,0.0000,0.0011,1.0000,+0.0000,0.1070,+0.0000
0.7,5,0.4422,0.4422,+0.0000,0.0000,0.0000,0.0118,1.0000,-0.0000,0.1336,+0.0000
0.7,6,0.7375,0.7375,+0.0000,0.0000,0.0000,0.0003,1.0000,+0.0000,0.1961,+0.0000
0.7,7,0.3898,0.3898,+0.0000,0.0000,0.0000,0.0007,1.0000,-0.0000,-0.0156,+0.0000
0.7,8,0.1422,0.1422,+0.0000,0.0000,0.0000,0.0007,1.0000,-0.0000,-0.0141,+0.0000
0.7,9,0.3836,0.3836,+0.0000,0.0000,0.0000,0.0032,1.0000,+0.0000,0.3406,+0.0000
0.8,0,0.8984,0.8984,+0.0000,0.0000,0.0000,0.0010,1.0000,+0.0000,0.0914,+0.0000
0.8,1,0.9367,0.9367,+0.0000,0.0000,0.0000,0.0015,1.0000,+0.0000,0.0523,+0.0000
0.8,2,0.9523,0.9523,+0.0000,0.0000,0.0000,0.0007,1.0000,+0.0000,0.0398,+0.0000
0.8,3,0.9336,0.9336,+0.0000,0.0000,0.0000,0.0006,1.0000,+0.0000,0.0648,+0.0000
0.8,4,0.8969,0.8969,+0.0000,0.0000,0.0000,0.0011,1.0000,+0.0000,0.0984,+0.0000
0.8,5,0.8836,0.8836,+0.0000,0.0000,0.0000,0.0119,1.0000,-0.0000,0.0977,+0.0000
0.8,6,0.9141,0.9141,+0.0000,0.0000,0.0000,0.0004,1.0000,+0.0000,0.0828,+0.0000
0.8,7,0.7617,0.7617,+0.0000,0.0000,0.0000,0.0007,1.0000,-0.0000,-0.0086,+0.0000
0.8,8,0.6953,0.6953,+0.0000,0.0000,0.0000,0.0009,1.0000,+0.0000,0.0672,+0.0000
0.8,9,0.8844,0.8844,+0.0000,0.0000,0.0000,0.0014,1.0000,+0.0000,0.1109,+0.0000
0.9,0,0.9219,0.9219,+0.0000,0.0000,0.0000,0.0009,1.0000,+0.0000,0.0711,+0.0000
0.9,1,0.9445,0.9445,+0.0000,0.0000,0.0000,0.0015,1.0000,+0.0000,0.0469,+0.0000
0.9,2,0.9031,0.9031,+0.0000,0.0000,0.0000,0.0006,1.0000,+0.0000,0.0953,+0.0000
0.9,3,0.9750,0.9750,+0.0000,0.0000,0.0000,0.0007,1.0000,+0.0000,0.0242,+0.0000
0.9,4,0.9242,0.9242,+0.0000,0.0000,0.0000,0.0011,1.0000,+0.0000,0.0687,+0.0000
0.9,5,0.9195,0.9195,+0.0000,0.0000,0.0000,0.0119,1.0000,-0.0000,0.0781,+0.0000
0.9,6,0.9125,0.9125,+0.0000,0.0000,0.0000,0.0006,1.0000,+0.0000,0.0867,+0.0000
0.9,7,0.8914,0.8914,+0.0000,0.0000,0.0000,0.0007,1.0000,-0.0000,-0.0094,+0.0000
0.9,8,0.8266,0.8266,+0.0000,0.0000,0.0000,0.0008,1.0000,+0.0000,0.0055,+0.0000
0.9,9,0.9414,0.9414,+0.0000,0.0000,0.0000,0.0016,1.0000,+0.0000,0.0555,+0.0000
0.95,0,0.9375,0.9375,+0.0000,0.0000,0.0000,0.0010,1.0000,+0.0000,0.0625,+0.0000
0.95,1,0.9313,0.9313,+0.0000,0.0000,0.0000,0.0016,1.0000,+0.0000,0.0672,+0.0000
0.95,2,0.9430,0.9430,+0.0000,0.0000,0.0000,0.0006,1.0000,+0.0000,0.0555,+0.0000
0.95,3,0.9492,0.9492,+0.0000,0.0000,0.0000,0.0007,1.0000,+0.0000,0.0508,+0.0000
0.95,4,0.9539,0.9539,+0.0000,0.0000,0.0000,0.0009,1.0000,+0.0000,0.0406,+0.0000
0.95,5,0.9148,0.9148,+0.0000,0.0000,0.0000,0.0117,1.0000,+0.0000,0.0805,+0.0000
0.95,6,0.9563,0.9563,+0.0000,0.0000,0.0000,0.0004,1.0000,+0.0000,0.0430,+0.0000
0.95,7,0.9078,0.9078,+0.0000,0.0000,0.0000,0.0007,1.0000,-0.0000,-0.0047,+0.0000
0.95,8,0.8398,0.8398,+0.0000,0.0000,0.0000,0.0008,1.0000,+0.0000,0.0227,+0.0000
0.95,9,0.9383,0.9383,+0.0000,0.0000,0.0000,0.0011,1.0000,+0.0000,0.0617,+0.0000
